objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,z_spec
1237648720148234490,159.93223,-0.91731964,20.16384,18.39601,17.5275,17.16447,16.83389,0.09076775
1237648720148234635,159.93454,-0.85789059,18.14307,17.1061,16.64992,16.44362,16.24624,0.02532969
1237654668666142976,159.83681,-1.1040842,24.22888,20.40256,18.59461,17.9793,17.5697,0.3847365
1237654669203013747,159.816,-0.79963781,19.88545,18.03537,17.09921,16.71177,16.40729,0.09437126
1237648720148168968,159.83926,-0.87393561,20.42637,18.62971,17.52475,17.08359,16.71704,0.1383015
1237648720148234523,159.97301,-0.85566553,20.29922,18.29355,17.36865,16.94962,16.61675,0.09091448
1237654669203079292,159.92876,-0.70793702,18.06112,16.41868,15.65689,15.27872,14.99245,0.02719358
1237654669740146852,160.39152,-0.3967828,20.40547,18.51243,17.46046,17.07009,16.73921,0.1367787
1237648720685301897,160.44369,-0.60057035,18.06697,16.91215,16.54108,16.30853,16.21666,0.03641907
1237648721222172845,160.48561,-0.20784114,18.70848,17.79136,17.10139,16.73867,16.47558,0.1385455
1237654669203275901,160.40788,-0.64315518,19.79477,17.81006,16.73692,16.30828,15.95293,0.136159
1237648721222172846,160.48732,-0.0072662582,19.84602,18.52486,17.77025,17.34433,16.99353,0.1126899
1237648720685301921,160.45323,-0.58184824,20.57275,18.36935,17.27252,16.79365,16.4228,0.1329735
1237654669740146871,160.43021,-0.33546189,18.51764,17.22318,16.66324,16.31073,16.07727,0.07416783
1237648721222172802,160.42853,-0.18989779,18.5687,17.55842,16.9072,16.56836,16.33323,0.09522899
1237648721222238368,160.53702,-0.11079194,20.28473,18.42524,17.48064,17.07037,16.77133,0.1139992
1237648721222172860,160.49605,-0.077046082,19.25782,17.7961,16.85966,16.45243,16.08813,0.1130077
1237648721222172924,160.5178,-0.19196303,19.18586,18.18762,17.49391,17.15713,16.9077,0.1141827
1237648720685301915,160.45348,-0.61704631,18.90436,17.60372,16.80767,16.39039,16.13039,0.1383506
1237654669740212377,160.50806,-0.28294506,19.56111,17.6997,16.71158,16.27283,15.94681,0.1139925
1237648720685301999,160.521,-0.43707566,20.69448,18.6377,17.61576,17.18812,16.83423,0.1375161
1237648721222173081,160.38731,-0.047942716,21.92443,20.39928,19.65091,19.23102,19.00267,0.2356633
1237648721222172834,160.47872,-0.15614377,19.73168,18.16099,17.05292,16.58967,16.20326,0.1497268
1237648720685236407,160.34592,-0.6041006,19.55431,18.25573,17.5221,17.13152,16.8924,0.1371191
